id,unique_pixels,mask_pixels,confidence
df4275e6d3,225,4532.0,0.8879521615527889
10c66588d5,218,1521.0,0.9619645132830115
008315cbd8,214,0.0,1.0
7eae0b1bb1,221,0.0,0.9623566317027742
cc76384dfc,189,6283.0,0.9537300264679933
52f8ed4b41,183,0.0,0.3494755416135673
ce573caad1,214,938.0,0.9876482697774728
ca0030c4ed,220,0.0,1.0
ab1210dadc,179,844.0,0.98725615135771
07e7427152,223,1622.0,0.9353004607391432
d6066d27a9,158,6016.0,0.9819625526909127
6cb2eca8e7,205,4753.0,0.9822566415057348
bca07dbbec,215,624.0,0.9755906283697676
a14dfc9c23,197,3711.0,0.9850995000490148
fbc8a6a4f9,1,0.0,1.0
18ef5f86ab,220,0.0,1.0
d64b16435d,224,0.0,1.0
8f0cd99812,204,0.0,0.165866091559651
a0b00e7922,201,0.0,1.0
aaac9f9da2,208,0.0,1.0
be2ca3ebce,217,0.0,1.0
1161352da6,171,312.0,0.9931379276541515
6f755aad25,211,1003.0,0.9741201842956573
319fc55710,184,1486.0,0.9824527007156161
c17dd92387,178,0.0,0.5935692579158905
b02595bf3e,227,0.0,1.0
df6ab067bb,206,0.0,0.0
9dba0d933d,220,0.0,1.0
64d3566e09,212,5924.0,0.9782374277031664
971bab4c1e,190,2298.0,0.9864719145181845
18c28327b4,166,0.0,1.0
162b99d5b6,228,0.0,1.0
7a8ef143fe,206,2124.0,0.9683364376041564
42f46dcb33,224,1156.0,0.9728457994314282
cf93be642e,225,0.0,1.0
2efda9a6bd,202,4423.0,0.9464758357023821
c7dd6d539f,213,0.0,1.0
817dc95214,253,0.0,1.0
18150f9ca6,223,4533.0,0.9843152632094893
9d55e4ccc9,172,0.0,1.0
9c14cb5581,1,0.0,1.0
85460cb29e,216,6953.0,0.9601999803940791
1c920e3604,1,0.0,1.0
49a553c65e,208,0.0,0.33839819625526907
3e59ba039c,200,3815.0,0.9523576119988236
2f1e684ac7,189,5845.0,0.9858837368885404
e938c76532,179,136.0,0.9902950691108715
21c312cfa1,170,9230.0,0.9879423585922948
3929965e55,224,0.0,1.0
81d87e9c69,251,0.0,1.0
d884aa82ab,230,0.0,1.0
8bf21420ad,232,0.0,1.0
9bc6f25a04,235,0.0,1.0
69840acbc6,156,0.0,1.0
26943026b5,203,8204.0,0.9740221546907166
1e60f585fa,212,3743.0,0.988824625036761
e599fabb46,203,7827.0,0.9853935888638369
b9d10b62c9,144,5286.0,0.9903930987158122
51e6fa0574,205,4700.0,0.9887265954318204
147a36429e,1,0.0,1.0
bf9963c402,223,9673.0,0.9887265954318204
d61b459e61,205,0.0,1.0
2126d0dea6,227,0.0,1.0
515ed7b6de,206,2282.0,0.9751985099500049
06f467360f,242,0.0,1.0
53e739bf11,137,6012.0,0.9250073522203706
cecb9a3bd3,182,5564.0,0.9820605822958534
21c09f5272,204,513.0,0.993628075678855
ec2fb1a42b,200,1698.0,0.961474365258308
699e9c511c,233,6558.0,0.35006371924321145
b0beff63b4,221,0.0,1.0
46bcca523a,212,9576.0,0.007646309185373983
