id,unique_pixels,mask_pixels,confidence
155410d6fa,206,8815.0,0.982158611900794
78b32781d1,191,8888.0,0.9799039309871581
63db2a476a,151,1295.0,0.8855994510342123
17bfcdb967,182,5645.0,0.9887265954318204
7ea0fd3c88,231,0.0,1.0
8a14fa3b33,217,5073.0,0.9709832369375552
1b4836f485,201,0.0,1.0
04013dfaae,174,0.0,1.0
5a005e1b95,215,1593.0,0.9334378982452701
fe53259bf6,219,2441.0,0.983138907950201
03dee840bf,148,16.0,0.9956866973826095
5be0000be2,157,0.0,1.0
6e166d6284,169,8489.0,0.9887265954318204
b07015747f,216,862.0,0.9784334869130478
aac410c5d3,224,2548.0,0.8566807175767082
2230bca035,223,0.0,1.0
575d4ae82a,167,912.0,0.9841192039996078
e9531eada5,175,8037.0,0.985687677678659
894f6a1da6,172,723.0,0.9911773355553377
fda5468e31,176,8438.0,0.9726497402215469
4ce3eb12cd,193,0.0,0.0
9853f60114,140,10197.0,0.0
f40bfdeb45,251,0.0,1.0
7c5c9f8ba4,167,4982.0,0.9103029114792668
beeceae804,218,4346.0,0.9816684638760905
edc0dc3a4f,203,9941.0,0.0
c4f145aef7,217,0.0,1.0
1fca9e9479,199,2479.0,0.9866679737280659
196638fe77,168,0.0,1.0
06f549734d,172,3601.0,0.9901970395059307
0267db6d11,186,0.0,1.0
b1cb5be1ce,230,0.0,1.0
48fa734394,204,562.0,0.9879423585922948
a63c9474ad,182,4906.0,0.9803940790118616
e265ee440b,185,6472.0,0.8936378786393491
446e131acf,211,1259.0,0.9580433290853838
89d48aba49,218,0.0,1.0
5f3bc6338a,180,2560.0,0.9840211743946672
25e2f2418c,227,0.0,1.0
33e736f52e,227,0.0,1.0
348b3df20a,197,6242.0,0.9799039309871581
8a8eaf1df7,185,2955.0,0.9860797960984217
641dabe2c5,216,844.0,0.948436427801196
e1e2a4a56d,177,410.0,0.9758847171845898
9840439edc,213,108.0,0.9430447995294579
bedc7812fe,206,0.0,1.0
a707bacffb,213,5612.0,0.9786295461229291
aa7589fa21,209,458.0,0.9920596019998039
96ed985fda,220,0.0,1.0
da3e6f8513,165,10109.0,0.9960788158023723
914df9f8f8,213,4351.0,0.9337319870600922
e4cf54768b,220,0.0,1.0
75ec408017,221,0.0,1.0
27144efbb1,230,0.0,1.0
0c14b502e8,198,8996.0,0.0
a35cab481b,146,5131.0,0.9760807763944711
61ec0b181a,198,5914.0,0.06107244387805117
af600f2a65,165,4580.0,0.9785315165179884
